Job ID,Job Title,Industry,Location,Company,Education Level,Experience Level,Salary (INR),Remote Option,Hired,Job Type,Skills Required,Posted Date,Application Deadline,Interview Rounds,Job Description Snippet,Company Rating,Expected Joining Time (days),Internship Stipend
JOB2025001,Data Scientist,Technology,Chennai,Amazon,Master's,1-2 years,553736,Yes,No,Full-time,"Java, JavaScript",2025-04-05,2025-05-01,5,Data Scientist role at Amazon requiring skills in Java and more.,2.6,19,0
JOB2025002,Machine Learning Engineer,Telecom,Hyderabad,Paytm,High School,3-5 years,803407,Yes,No,Internship,"SQL, JavaScript, React, Python",2025-04-14,2025-05-06,1,Machine Learning Engineer role at Paytm requiring skills in SQL and more.,3.4,29,24782
JOB2025003,DevOps Engineer,Technology,Gurgaon,Accenture,Bachelor's,6-10 years,1282627,No,No,Part-time,"Python, JavaScript",2025-03-01,2025-03-20,1,DevOps Engineer role at Accenture requiring skills in Python and more.,4.6,13,0
JOB2025004,Frontend Developer,Education,Gurgaon,Microsoft,Master's,3-5 years,986264,Yes,No,Full-time,"Machine Learning, JavaScript, SQL",2025-03-21,2025-04-12,3,Frontend Developer role at Microsoft requiring skills in Machine Learning and more.,5.0,47,0
JOB2025005,Machine Learning Engineer,Retail,Pune,Infosys,Master's,Fresher,465388,No,No,Full-time,"Data Analysis, React, JavaScript",2025-03-09,2025-04-03,4,Machine Learning Engineer role at Infosys requiring skills in Data Analysis and more.,4.7,48,0
JOB2025006,Business Analyst,Healthcare,Chennai,Wipro,Master's,10+ years,3130317,No,No,Contract,"JavaScript, SQL, AWS, Python",2025-03-02,2025-03-13,1,Business Analyst role at Wipro requiring skills in JavaScript and more.,2.9,17,0
JOB2025007,Frontend Developer,Energy,Mumbai,Flipkart,Diploma,10+ years,2981571,No,Yes,Full-time,"React, Java, Django, JavaScript",2025-04-09,2025-05-03,1,Frontend Developer role at Flipkart requiring skills in React and more.,4.9,53,0
JOB2025008,DevOps Engineer,Media,Delhi,Accenture,Bachelor's,3-5 years,1134993,Yes,Yes,Internship,"Machine Learning, Data Analysis, Python",2025-03-12,2025-04-01,4,DevOps Engineer role at Accenture requiring skills in Machine Learning and more.,2.5,30,15076
JOB2025009,UI/UX Designer,Technology,Hyderabad,Capgemini,Bachelor's,Fresher,554798,Yes,Yes,Part-time,"Machine Learning, SQL, Django, AWS, Node.js",2025-03-23,2025-04-08,5,UI/UX Designer role at Capgemini requiring skills in Machine Learning and more.,4.4,51,0
JOB2025010,UI/UX Designer,Education,Remote,Microsoft,Diploma,10+ years,2946835,Yes,Yes,Part-time,"Java, React, Python",2025-03-13,2025-04-09,2,UI/UX Designer role at Microsoft requiring skills in Java and more.,4.0,7,0
JOB2025011,Data Scientist,Technology,Hyderabad,TCS,Bachelor's,3-5 years,837149,Yes,No,Contract,"Machine Learning, SQL, AWS",2025-04-04,2025-04-29,4,Data Scientist role at TCS requiring skills in Machine Learning and more.,3.0,13,0
JOB2025012,Frontend Developer,Manufacturing,Remote,Flipkart,Diploma,Fresher,351599,Yes,Yes,Contract,"Java, JavaScript, Machine Learning, Data Analysis",2025-03-16,2025-04-09,2,Frontend Developer role at Flipkart requiring skills in Java and more.,3.6,24,0
JOB2025013,Business Analyst,Retail,Mumbai,Paytm,High School,Fresher,326522,Yes,Yes,Part-time,"Node.js, AWS, Machine Learning",2025-04-06,2025-04-28,1,Business Analyst role at Paytm requiring skills in Node.js and more.,2.9,7,0
JOB2025014,Frontend Developer,Education,Gurgaon,Google,Diploma,10+ years,3388044,No,Yes,Part-time,"JavaScript, Python, Machine Learning, React",2025-03-30,2025-04-10,1,Frontend Developer role at Google requiring skills in JavaScript and more.,4.0,39,0
JOB2025015,Machine Learning Engineer,Healthcare,Bangalore,Accenture,Bachelor's,1-2 years,535924,Yes,Yes,Contract,"Data Analysis, JavaScript",2025-03-13,2025-04-11,1,Machine Learning Engineer role at Accenture requiring skills in Data Analysis and more.,4.0,33,0
JOB2025016,Cybersecurity Analyst,Energy,Noida,Microsoft,PhD,1-2 years,664722,Yes,No,Contract,"Django, AWS, React",2025-02-19,2025-03-03,1,Cybersecurity Analyst role at Microsoft requiring skills in Django and more.,3.6,43,0
JOB2025017,Data Scientist,Finance,Noida,Amazon,High School,3-5 years,869445,No,Yes,Part-time,"Django, SQL, AWS, Node.js",2025-03-16,2025-04-04,5,Data Scientist role at Amazon requiring skills in Django and more.,5.0,58,0
JOB2025018,Machine Learning Engineer,Technology,Noida,Google,Bachelor's,1-2 years,638656,Yes,Yes,Part-time,"Django, JavaScript, React, Java",2025-03-07,2025-04-06,3,Machine Learning Engineer role at Google requiring skills in Django and more.,3.8,23,0
JOB2025019,Software Engineer,Finance,Remote,Google,Bachelor's,Fresher,474879,Yes,Yes,Internship,"AWS, Machine Learning, Node.js",2025-03-15,2025-03-25,1,Software Engineer role at Google requiring skills in AWS and more.,2.7,51,9884
JOB2025020,Machine Learning Engineer,Technology,Pune,Capgemini,High School,1-2 years,725332,Yes,Yes,Internship,"Python, React, JavaScript, Machine Learning",2025-04-04,2025-04-17,3,Machine Learning Engineer role at Capgemini requiring skills in Python and more.,4.5,33,10064
JOB2025021,UI/UX Designer,Healthcare,Delhi,Flipkart,Bachelor's,1-2 years,674160,No,Yes,Internship,"Java, Node.js, Python",2025-02-24,2025-03-21,2,UI/UX Designer role at Flipkart requiring skills in Java and more.,3.0,36,16457
JOB2025022,DevOps Engineer,Retail,Hyderabad,Infosys,Master's,6-10 years,1544207,No,Yes,Internship,"Machine Learning, Node.js, React, Python",2025-04-12,2025-04-30,2,DevOps Engineer role at Infosys requiring skills in Machine Learning and more.,4.0,23,6253
JOB2025023,Data Scientist,Energy,Remote,Microsoft,PhD,6-10 years,1835656,Yes,Yes,Contract,"Django, Python, Node.js",2025-04-19,2025-05-15,5,Data Scientist role at Microsoft requiring skills in Django and more.,4.2,54,0
JOB2025024,UI/UX Designer,Manufacturing,Remote,TCS,PhD,10+ years,2658328,Yes,Yes,Internship,"Node.js, React, Data Analysis, Machine Learning",2025-04-01,2025-04-28,2,UI/UX Designer role at TCS requiring skills in Node.js and more.,3.0,49,17423
JOB2025025,Product Manager,Energy,Ahmedabad,Google,Diploma,10+ years,2000851,No,No,Part-time,"Data Analysis, React, AWS, JavaScript, Node.js",2025-03-07,2025-03-23,5,Product Manager role at Google requiring skills in Data Analysis and more.,3.7,57,0
JOB2025026,Product Manager,Finance,Chennai,Accenture,High School,3-5 years,848961,Yes,No,Part-time,"SQL, Python, Machine Learning",2025-04-04,2025-04-29,5,Product Manager role at Accenture requiring skills in SQL and more.,4.6,11,0
JOB2025027,Business Analyst,Telecom,Ahmedabad,Amazon,Diploma,6-10 years,1619066,Yes,Yes,Full-time,"Node.js, JavaScript",2025-04-08,2025-05-04,4,Business Analyst role at Amazon requiring skills in Node.js and more.,2.6,22,0
JOB2025028,Data Scientist,Logistics,Delhi,Paytm,High School,10+ years,3248754,No,No,Contract,"SQL, AWS, Machine Learning, Data Analysis, Java",2025-02-25,2025-03-27,3,Data Scientist role at Paytm requiring skills in SQL and more.,4.4,40,0
JOB2025029,Business Analyst,Retail,Chennai,Paytm,Bachelor's,3-5 years,922942,No,No,Internship,"SQL, Data Analysis",2025-04-05,2025-04-27,2,Business Analyst role at Paytm requiring skills in SQL and more.,4.3,11,18594
JOB2025030,Frontend Developer,Manufacturing,Noida,Paytm,Diploma,Fresher,408440,No,No,Full-time,"AWS, Python, React, SQL, JavaScript",2025-02-24,2025-03-19,5,Frontend Developer role at Paytm requiring skills in AWS and more.,4.4,41,0
JOB2025031,Cybersecurity Analyst,Retail,Gurgaon,Amazon,PhD,6-10 years,1709232,Yes,No,Internship,"SQL, AWS, Data Analysis, Django, Node.js",2025-04-18,2025-05-10,5,Cybersecurity Analyst role at Amazon requiring skills in SQL and more.,3.9,8,7750
JOB2025032,Frontend Developer,Healthcare,Gurgaon,Wipro,Bachelor's,3-5 years,998759,No,Yes,Contract,"React, Node.js, Django, Machine Learning",2025-02-25,2025-03-20,3,Frontend Developer role at Wipro requiring skills in React and more.,4.6,37,0
JOB2025033,Software Engineer,Media,Bangalore,Microsoft,Master's,Fresher,321106,Yes,Yes,Part-time,"Data Analysis, SQL",2025-04-04,2025-04-18,4,Software Engineer role at Microsoft requiring skills in Data Analysis and more.,4.2,43,0
JOB2025034,UI/UX Designer,Logistics,Chennai,Microsoft,Master's,10+ years,3273490,Yes,Yes,Internship,"Data Analysis, Python",2025-02-19,2025-03-10,5,UI/UX Designer role at Microsoft requiring skills in Data Analysis and more.,4.2,31,17997
JOB2025035,UI/UX Designer,Finance,Ahmedabad,Amazon,Bachelor's,3-5 years,1158748,Yes,Yes,Internship,"React, Java, Data Analysis, Python, JavaScript",2025-02-26,2025-03-23,1,UI/UX Designer role at Amazon requiring skills in React and more.,3.6,30,20064
JOB2025036,Product Manager,Telecom,Delhi,Accenture,PhD,10+ years,3128630,No,No,Contract,"React, JavaScript, Java, SQL",2025-02-22,2025-03-18,2,Product Manager role at Accenture requiring skills in React and more.,4.4,43,0
JOB2025037,Cybersecurity Analyst,Telecom,Pune,Infosys,Diploma,3-5 years,895336,No,Yes,Internship,"React, Django, Machine Learning, AWS",2025-04-19,2025-05-15,2,Cybersecurity Analyst role at Infosys requiring skills in React and more.,2.7,53,18317
JOB2025038,Business Analyst,Media,Hyderabad,Paytm,Diploma,6-10 years,1218080,Yes,No,Part-time,"JavaScript, Django, React, Data Analysis, Machine Learning",2025-03-17,2025-04-07,4,Business Analyst role at Paytm requiring skills in JavaScript and more.,5.0,42,0
JOB2025039,Backend Developer,Manufacturing,Gurgaon,Google,PhD,3-5 years,920868,Yes,Yes,Internship,"Machine Learning, SQL",2025-04-07,2025-04-23,4,Backend Developer role at Google requiring skills in Machine Learning and more.,3.2,44,22191
JOB2025040,Cybersecurity Analyst,Education,Mumbai,Amazon,PhD,1-2 years,689205,Yes,No,Full-time,"Django, Python, Machine Learning",2025-03-15,2025-04-03,2,Cybersecurity Analyst role at Amazon requiring skills in Django and more.,4.1,55,0
JOB2025041,Business Analyst,Finance,Bangalore,Capgemini,PhD,6-10 years,1701968,No,No,Part-time,"Django, AWS",2025-04-12,2025-04-24,4,Business Analyst role at Capgemini requiring skills in Django and more.,3.7,43,0
JOB2025042,Software Engineer,Healthcare,Delhi,Capgemini,PhD,Fresher,430123,Yes,No,Part-time,"AWS, Data Analysis, Django, Node.js, Machine Learning",2025-03-23,2025-04-11,5,Software Engineer role at Capgemini requiring skills in AWS and more.,4.1,46,0
JOB2025043,Data Scientist,Retail,Hyderabad,Google,Bachelor's,1-2 years,625758,Yes,Yes,Part-time,"Node.js, AWS",2025-03-06,2025-04-04,4,Data Scientist role at Google requiring skills in Node.js and more.,3.2,21,0
JOB2025044,DevOps Engineer,Education,Gurgaon,TCS,Master's,3-5 years,1127710,Yes,No,Full-time,"SQL, Django, Data Analysis",2025-04-15,2025-04-26,2,DevOps Engineer role at TCS requiring skills in SQL and more.,4.5,45,0
JOB2025045,Cybersecurity Analyst,Education,Gurgaon,TCS,Diploma,3-5 years,1166861,No,No,Contract,"Java, Python, Node.js, React, SQL",2025-03-12,2025-03-30,1,Cybersecurity Analyst role at TCS requiring skills in Java and more.,2.7,50,0
JOB2025046,Cybersecurity Analyst,Energy,Bangalore,Google,High School,Fresher,391850,No,No,Internship,"Data Analysis, Node.js, AWS",2025-04-14,2025-05-09,3,Cybersecurity Analyst role at Google requiring skills in Data Analysis and more.,3.5,27,8427
JOB2025047,Product Manager,Manufacturing,Remote,Paytm,PhD,6-10 years,1997441,Yes,Yes,Contract,"React, Django",2025-03-30,2025-04-12,4,Product Manager role at Paytm requiring skills in React and more.,4.7,59,0
JOB2025048,Software Engineer,Media,Gurgaon,Flipkart,Bachelor's,1-2 years,771811,No,No,Contract,"JavaScript, Django",2025-03-15,2025-03-29,3,Software Engineer role at Flipkart requiring skills in JavaScript and more.,3.6,51,0
JOB2025049,Business Analyst,Finance,Bangalore,Capgemini,Master's,1-2 years,662922,Yes,No,Full-time,"Java, AWS, Data Analysis",2025-03-09,2025-03-23,4,Business Analyst role at Capgemini requiring skills in Java and more.,4.8,25,0
JOB2025050,Machine Learning Engineer,Education,Remote,Paytm,Diploma,1-2 years,739487,Yes,Yes,Contract,"Data Analysis, Machine Learning, SQL",2025-02-23,2025-03-07,3,Machine Learning Engineer role at Paytm requiring skills in Data Analysis and more.,4.4,33,0
JOB2025051,Backend Developer,Media,Chennai,Infosys,PhD,3-5 years,1107724,No,Yes,Contract,"React, Data Analysis, Node.js, JavaScript, SQL",2025-02-23,2025-03-11,2,Backend Developer role at Infosys requiring skills in React and more.,3.9,21,0
JOB2025052,Frontend Developer,Technology,Pune,Paytm,Diploma,6-10 years,1895928,Yes,No,Full-time,"Machine Learning, React, Java",2025-02-23,2025-03-19,1,Frontend Developer role at Paytm requiring skills in Machine Learning and more.,3.8,36,0
JOB2025053,Software Engineer,Healthcare,Remote,Wipro,Bachelor's,6-10 years,1477896,Yes,No,Contract,"React, Machine Learning",2025-03-26,2025-04-15,4,Software Engineer role at Wipro requiring skills in React and more.,4.7,9,0
JOB2025054,Cybersecurity Analyst,Finance,Hyderabad,Google,Master's,Fresher,527526,Yes,Yes,Contract,"Django, Python, Machine Learning",2025-03-30,2025-04-10,3,Cybersecurity Analyst role at Google requiring skills in Django and more.,3.4,34,0
JOB2025055,Product Manager,Retail,Noida,Flipkart,High School,1-2 years,589120,Yes,Yes,Contract,"AWS, SQL, JavaScript",2025-03-21,2025-04-20,3,Product Manager role at Flipkart requiring skills in AWS and more.,3.6,49,0
JOB2025056,Software Engineer,Logistics,Chennai,Accenture,Master's,Fresher,531593,No,No,Contract,"AWS, Django, JavaScript, Data Analysis",2025-02-24,2025-03-21,1,Software Engineer role at Accenture requiring skills in AWS and more.,3.1,43,0
JOB2025057,Backend Developer,Energy,Chennai,Google,Bachelor's,6-10 years,1487813,Yes,Yes,Contract,"JavaScript, React, Data Analysis, Machine Learning",2025-04-07,2025-05-06,3,Backend Developer role at Google requiring skills in JavaScript and more.,4.2,53,0
JOB2025058,Product Manager,Finance,Bangalore,Google,Diploma,Fresher,491292,Yes,Yes,Internship,"Node.js, SQL, JavaScript, Java",2025-02-28,2025-03-27,3,Product Manager role at Google requiring skills in Node.js and more.,3.8,24,10391
JOB2025059,DevOps Engineer,Logistics,Chennai,Microsoft,Bachelor's,6-10 years,1278957,Yes,Yes,Contract,"Java, Node.js, Python, SQL",2025-03-16,2025-03-29,4,DevOps Engineer role at Microsoft requiring skills in Java and more.,3.4,54,0
JOB2025060,DevOps Engineer,Energy,Remote,Microsoft,Bachelor's,1-2 years,747189,Yes,Yes,Internship,"Java, AWS, Django",2025-03-09,2025-04-01,1,DevOps Engineer role at Microsoft requiring skills in Java and more.,2.8,9,14973
JOB2025061,Business Analyst,Finance,Mumbai,Amazon,High School,1-2 years,703762,No,No,Contract,"Node.js, Java, AWS",2025-03-11,2025-04-03,3,Business Analyst role at Amazon requiring skills in Node.js and more.,2.6,30,0
JOB2025062,UI/UX Designer,Logistics,Gurgaon,Amazon,PhD,Fresher,492589,No,Yes,Contract,"JavaScript, Java, AWS, Python",2025-03-08,2025-03-24,5,UI/UX Designer role at Amazon requiring skills in JavaScript and more.,4.9,10,0
JOB2025063,Backend Developer,Retail,Delhi,Capgemini,Master's,Fresher,590564,Yes,Yes,Part-time,"SQL, Python, Django, Node.js",2025-04-10,2025-04-24,5,Backend Developer role at Capgemini requiring skills in SQL and more.,3.1,18,0
JOB2025064,Data Scientist,Technology,Delhi,Infosys,PhD,1-2 years,669749,Yes,Yes,Internship,"SQL, Node.js",2025-03-17,2025-03-30,1,Data Scientist role at Infosys requiring skills in SQL and more.,3.7,56,16863
JOB2025065,Machine Learning Engineer,Energy,Mumbai,Paytm,High School,1-2 years,522735,No,No,Full-time,"AWS, Node.js",2025-03-23,2025-04-05,4,Machine Learning Engineer role at Paytm requiring skills in AWS and more.,4.3,35,0
JOB2025066,Data Scientist,Finance,Pune,Capgemini,Master's,Fresher,366160,No,No,Contract,"AWS, Machine Learning, Node.js, Python",2025-02-28,2025-03-13,5,Data Scientist role at Capgemini requiring skills in AWS and more.,4.3,20,0
JOB2025067,Frontend Developer,Logistics,Hyderabad,Flipkart,PhD,6-10 years,1618098,No,Yes,Internship,"React, Django, Data Analysis, Java, AWS",2025-02-19,2025-03-16,1,Frontend Developer role at Flipkart requiring skills in React and more.,2.7,12,8054
JOB2025068,Frontend Developer,Finance,Pune,Wipro,High School,Fresher,594433,No,Yes,Contract,"Node.js, Python, Django, AWS",2025-03-31,2025-04-21,1,Frontend Developer role at Wipro requiring skills in Node.js and more.,3.9,20,0
JOB2025069,Product Manager,Logistics,Hyderabad,TCS,PhD,10+ years,2770831,Yes,No,Part-time,"Machine Learning, Data Analysis, Python, Django, React",2025-02-25,2025-03-15,1,Product Manager role at TCS requiring skills in Machine Learning and more.,3.0,51,0
JOB2025070,DevOps Engineer,Manufacturing,Pune,Infosys,Master's,1-2 years,796915,No,Yes,Part-time,"Java, Machine Learning",2025-04-06,2025-04-28,4,DevOps Engineer role at Infosys requiring skills in Java and more.,3.6,17,0
JOB2025071,Backend Developer,Education,Pune,Capgemini,High School,Fresher,327582,Yes,Yes,Full-time,"Django, AWS",2025-03-08,2025-03-31,4,Backend Developer role at Capgemini requiring skills in Django and more.,4.0,33,0
JOB2025072,DevOps Engineer,Retail,Noida,TCS,PhD,6-10 years,1316276,No,No,Internship,"JavaScript, Node.js",2025-03-12,2025-03-23,1,DevOps Engineer role at TCS requiring skills in JavaScript and more.,3.0,20,9496
JOB2025073,DevOps Engineer,Education,Pune,TCS,Bachelor's,6-10 years,1983301,No,Yes,Part-time,"Machine Learning, JavaScript, React, Python, Data Analysis",2025-02-23,2025-03-06,4,DevOps Engineer role at TCS requiring skills in Machine Learning and more.,2.5,11,0
